项目名称,项目简介,主要产品,业主方,所在地,行业,大类
利用废矿渣年产2万吨岩棉墙体阻燃保温材料项目,"['该项目位于河南省安阳市滑县道口镇卫西工业园，占地16.9亩，建设厂房、办公用房8500平方米，主要工艺：废高炉矿渣、玄武岩—混合配料—加热融化—岩棉成纤—岩棉板—成品。购置设备：熔化炉、四辊离心机、集棉输送机、加压卷毡机、打褶机、固化炉、（过渡、称量、冷却、纵横切）等输送机、包装机，变压器以及配电设备，年有效利用废高炉矿渣、玄武岩共3万吨，年产2万吨岩棉墙体阻燃保温材料。', '项目总投资3200万元。']",年产2万吨岩棉墙体阻燃保温材料。,['河南瑷嘉宝保温材料有限公司'],河南省安阳市滑县道口镇卫西工业园,材料,材料制造
年产100万平方米新型纳米微晶板材项目,"['该项目位于河南省郑州新密市刘寨镇刘沃村，由河南省瑞万佳石材有限公司投资建设，本次项目包括新建年产100万平方米新型纳米微晶板材项目生产装置。项目占地面积22283.4平方米。项目分三期建设，每期建设规模分别为一期30万平方米、二期30万平方米、三期40万平方米。 主要建设内容：本次项目包括新建原料库、原料车间、熔制成型车间、晶化退火车间、磨切包装车间、备品备件库、机修车间、高压及变压器室、电熔窑低压配电与控制、办公楼等。办公楼内设中心化验室，承担原料进厂时各项成分指标的化验及产品理化指标的检验。', '项目总投资7818万元。']",本次项目包括新建年产100万平方米新型纳米微晶板材项目生产装置。,['河南省瑞万佳石材有限公司'],河南省郑州新密市刘寨镇刘沃村,材料,材料制造
臭氧系统设备扩产及应用系统集成项目,"['该项目位于山东省青岛莱西市姜山镇，由青岛国林实业股份有限公司投资建设，项目扩产1300台（套）臭氧发生器，新增主要建筑为1栋铆焊车间（1F）、1栋电极管（DTA放电体）精密加工车间（1F）、1栋机械加工及组装车间（1F）、1栋电气装配车间（1F局部3F）和1栋变压器生产车间（1F局部3F）。', '项目总投资17087.76万元。']",项目扩产1300台（套）臭氧发生器。,['青岛国林实业股份有限公司'],山东省青岛莱西市姜山镇,机械电子,材料制造
±1100千伏特高压直流输电技术研发能力建设项目,"['该项目位于河南省平顶山市新城区产业集聚区，由平高集团有限公司投资建设，按照国家“十二五”规划，大力发展输电损耗更低、距离更远、容量更大的±1100千伏直流输电技术，国家电网公司实施了“±1100千伏特高压直流输电技术研发能力建设项目”，平高集团承担±1100千伏直流场设备研制能力建设子项任务。', '本子项利用平高现有大容量强电流试验站的土地及厂房设施，新增1800kV工频试验装置一套、大电流变压器3台、单相调压器3套、硅橡胶伞裙浇注模具2套，以满足±1100千伏直流输电技术研发能力建设要求。', '项目总投资3220万元。']",本子项利用平高现有大容量强电流试验站的土地及厂房设施，新增1800kV工频试验装置一套、大电流变压器3台、单相调压器3套、硅橡胶伞裙浇注模具2套。,['平高集团有限公司'],河南省平顶山市新城区产业集聚区,机械电子,材料制造
江苏500千伏扬州北输变电工程,"['该项目位于江苏省扬州市，由江苏省电力公司投资建设， 500kV扬州北变电站500kV远期出线8回，本期出线4回（上河2回、江都1回、盐都1回），本期500kV出线分为两个部分，分别为： （1）500kV上河变至盐都变线路开断环入500kV扬州北变电站。 （2）500kV上河变至江都变Ⅱ回线路开断环入500kV扬州北变电站。', '（1）500kV变电部分', '新建500kV 扬州北变电站工程：本期规模：2 台1000MVA 主变，4 回500kV出线，13 回220kV 出线。远景规模：6台1000MVA 主变，8 回500kV出线，24回220kV 出线。', '500kV 上河变电站出线间隔改造工程：更换500kV 断路器1台，改造出线接地开关2组。', '500kV 江都变电站出线间隔改造工程：改造出线接地开关1组，现有每台主变压器加装10Ω中性点小电抗。', '500kV 盐都变电站出线间隔改造工程\t更换500kV 断路器1台，改造出线接地开关1组。', '（2）500kV线路部分', '上河变至江都变Ⅱ线“π”接入500kV 扬州北变电站的开环段新建线路：4×LGJ-630/45同塔双回线路路径全长约14.5km，混压四回线路路径全长约34.5km（本期仅建设500kV导线）', '上河变至盐都变线“π”接入500kV 扬州北变的开环段新建线路：同塔双回输电线路路径全长约70km，导线截面4×630mm2。', '（3）配套的光通信工程', '500kV 上河变至盐都变开断环入扬州北线路OPGW工程：OPGW-150/36F 223km', '500kV 上河变指江都变开断环入扬州北线路OPGW工程：OPGW-150/36F 149km', '项目总投资25000万元。']",500kV扬州北变电站500kV远期出线8回，本期出线4回（上河2回、江都1回、盐都1回），本期500kV出线分为两个部分，分别为： （1）500kV上河变至盐都变线路开断环入500kV扬州北变电站。 （2）500kV上河变至江都变Ⅱ回线路开断环入500kV扬州北变电站。,['江苏省电力公司'],江苏省扬州市,电力,电力
黄石大箕铺220千伏输变电工程,"['该项目位于湖北省黄石市大冶市，由湖北省电力公司黄石供电公司投资建设，①新建大箕铺220kV变电站：拟建站址位于大冶市大箕铺镇刘逊村，本期1×180MVA，电压等级为220/110/10kV，采用有载调压变压器。 ②本期新建220kV线路3回，分别为：栖姜Ⅰ回π进大箕铺变220kV线路，形成大箕铺至栖儒桥线路和大箕铺至姜家垅线路。新建线路长度为2.0公里，其中新建双回长度1.6km，单回长度0.4km；大箕铺-四棵220kV线路，线路全长17.5km，其中220kV双回0.3km，220kV单回2.2km，500kV单回14.0km，500kV双回1.0km（500kV线路按220kV降压运行）。 ③本期新建110kV出线6回，分别为：大箕铺变～湛月变110kV线路线路全长12.6km、大箕铺变～铜录山变110kV线路线路全长13.0km，其中双回线路7.5km，单回线路5.5km、大箕铺变～新叶变110kV线路长5.5km，其中双回共塔长3.7km，单回路长1.8km。原韦录太T接新叶变支线延伸至大箕铺变110kV线路路径线路长5.7km，其中双回线路长3.7km，单回线路长2km。大港线π进大箕铺110kV线路路径线路长2.5km，双回架设。', '项目总投资6000万元。']",①新建大箕铺220kV变电站 ②本期新建220kV线路3回 ③本期新建110kV出线6回。,['湖北省电力公司黄石供电公司'],湖北省黄石市大冶市,电力,电力
眉县香引山农业生态旅游观光园建设项目,"['该项目位于陕西省宝鸡市眉县汤峪镇远门峪口，由陕西海联宝农林生态科技发展有限公司投资建设，项目建设总面积5000亩，主要建设项目按属性分为三大类：①休闲观光设施项目：新建人工湖（鱼池）6处，水域面积195亩；名优特经济观光采摘园500亩；花卉观光园300亩；有机农作物生产基地1500亩；农耕体验区一处，面积400亩；园林景观小品景观亭53座，花架38座，水车8组。② 生态农业种植及养殖项目：珍贵苗木生产园900亩；特种养殖园200亩。③基础及服务设施项目：新建管理接待服务中心办公和服务用房以及生态餐厅3000平方米；休闲广场3800平方米；停车场6处，面积2500平方米；标志性大门2座；园区主干道路12km，次干道路29km，游览步道30km；架设高压专线3 km，购置300KVA变压器2个，箱式变配电箱1个，需购置双制式空调30套，电热水器40个，河道治理5000多米，土壤改良3500多亩。', '项目总投资100000万元。']",项目建设总面积5000亩。,['陕西海联宝农林生态科技发展有限公司'],陕西省宝鸡市眉县汤峪镇远门峪口,生态休闲旅游,其他
汕头110千伏东墩变电站改造扩容工程,"['该项目位于广东省汕头市金平区金新路与党校路交界处附近，由 广东电网公司汕头供电局投资建设，本项目为110kV东墩变电站改造扩容工程。变电站采用GIS户内布置，终期建设规模为主变容量3×50MVA，110kV电缆线路4回，无功补偿装置3×2×5010kVar。本期工程拟改造内容为将原3台主变压器3×40MVA拆除，新建3台主变压器容量3×50MVA，并完善相关电气设备，不增加110kV出线回路，增加无功补偿容量3×2×5010kVar。', '项目总投资9564万元。']",本项目为110kV东墩变电站改造扩容工程。终期建设规模为主变容量3×50MVA，110kV电缆线路4回，无功补偿装置3×2×5010kVar。,['广东电网公司汕头供电局'],广东省汕头市金平区金新路与党校路交界处附近,电力,电力
渠县西城至三汇石佛110千伏输变电工程,"['该项目位于四川省达州市渠县县城至三汇石佛乡，由渠县电力公司投资建设，石佛110kV变电站主变选择为110／35／10.5kV三圈变压器，主变终期容量选择为2×25000kVA，本期1×25000kVA；110kV出线： 110kV出线终期6回，本期2回，预留4回备用，采用双母线接线；35kV出线：终期6回，本期3回，采用单母线分段接线；10kV出线：终期12回，本期8回，预留4 回，采用单母线分段接线。西城110kV变电站至石佛110kV变电站，全长约34km的单回送电线路；石佛滩电站110kV升压站至石佛110kV变电站，全长约4km的单回送电线路。', '项目总投资3000万元。']",建设西城110kV变电站至石佛110kV变电站，全长约34km的单回送电线路；石佛滩电站110kV升压站至石佛110kV变电站，全长约4km的单回送电线路等。,['渠县电力公司'],四川省达州市渠县县城至三汇石佛乡,电力,电力
佛山市220千伏奎福输变电工程,"['该项目位于广东省佛山市顺德区杏坛镇麦村南面 ，由 广东电网公司投资建设，\t本工程最终建设规模为4台24万千伏安主变压器，本期建设2台24万千伏安主变压器，同时装设相应容量的无功补偿电容器及其它附属设备；220千伏最终出线6回，本期出线4回，线路约38千米；110千伏最终出线14回，本期6回，线路约44千米；10千伏最终出线30回，本期出线20回；220及110千伏配电装置均采用户外GIS设备；配套建设相应的通信光缆及二次系统。', '项目总投资45675万元。']",本工程最终建设规模为4台24万千伏安主变压器，本期建设2台24万千伏安主变压器，220千伏最终出线6回，本期出线4回，线路约38千米；110千伏最终出线14回，本期6回，线路约44千米；10千伏最终出线30回，本期出线20回。,['广东电网公司'],广东省佛山市顺德区杏坛镇麦村南面,电力,电力
佛山市220千伏容桂输变电工程,"['该项目位于广东省佛山市顺德区容桂街道穗香村的成联坊，由广东电网公司投资建设，本工程最终建设规模为4台24万千伏安主变压器，本期建设2台24万千伏安主变压器，同时装设相应容量的无功补偿电容器及其它附属设备；220千伏最终出线6回，本期出线4回，线路约6.6千米；110千伏最终出线14回，本期4回，线路约33.3千米（含电缆）；10千伏最终出线30回，本期出线20回；220千伏配电装置采用户外GIS设备，110千伏配电装置采用户内GIS设备；配套建设相应的通信光缆及二次系统。', '项目总投资48205万元。']",本工程最终建设规模为4台24万千伏安主变压器，本期建设2台24万千伏安主变压器；220千伏最终出线6回，本期出线4回，线路约6.6千米；110千伏最终出线14回，本期4回，线路约33.3千米（含电缆）；10千伏最终出线30回，本期出线20回。,['广东电网公司'],广东省佛山市顺德区容桂街道穗香村的成联坊,电力,电力
